timestamps population node_ids
95.71394488728322 inputs 0
126.56088943113555 inputs 0
229.9870501633353 inputs 0
245.05162076403022 inputs 0
452.7943817141548 inputs 0
455.2214565361156 inputs 0
504.77011224654734 inputs 0
604.3561069983937 inputs 0
745.4921743208354 inputs 0
797.4145516899043 inputs 0
1015.2632291187908 inputs 0
1259.4283504264388 inputs 0
1260.402479621212 inputs 0
1312.8831690075658 inputs 0
1397.8547707041037 inputs 0
1487.5170804863478 inputs 0
1652.1457256881713 inputs 0
1737.697075036143 inputs 0
1826.0848249795272 inputs 0
2128.976229782691 inputs 0
2131.664741667456 inputs 0
2190.2192100177044 inputs 0
2420.5560698951176 inputs 0
2511.0180257804723 inputs 0
2541.6368838422754 inputs 0
2662.6258268447373 inputs 0
2716.198221478606 inputs 0
2840.8918379178053 inputs 0
2868.2021254988686 inputs 0
2878.3616834726995 inputs 0
2916.898990146238 inputs 0
3304.925686509427 inputs 0
3851.927141675577 inputs 0
3863.8350081611748 inputs 0
3924.797017917294 inputs 0
3974.2354352599964 inputs 0
4006.352097704144 inputs 0
4041.803460096869 inputs 0
4170.885977491384 inputs 0
4439.941655970048 inputs 0
4461.409749663441 inputs 0
4632.881759612928 inputs 0
4677.439818908486 inputs 0
4768.160580002274 inputs 0
4827.442076056011 inputs 0
4921.1168016624615 inputs 0
4946.337118436641 inputs 0
4996.1961718686 inputs 0
15.093052701800344 inputs 1
121.60909205866803 inputs 1
123.82463137354905 inputs 1
178.99321912223706 inputs 1
199.76174584552277 inputs 1
220.58387690412732 inputs 1
404.97910555504086 inputs 1
433.8123955361214 inputs 1
447.66027954887375 inputs 1
535.3310517731744 inputs 1
601.6061880087167 inputs 1
618.1645898439053 inputs 1
683.9769118644836 inputs 1
751.0192864760166 inputs 1
813.737279405642 inputs 1
821.7557406349982 inputs 1
883.9593131501844 inputs 1
927.8857554099975 inputs 1
953.7362286807992 inputs 1
1098.134677633323 inputs 1
1168.9377891798829 inputs 1
1311.1911015174794 inputs 1
1413.5328127156015 inputs 1
1438.1429241283995 inputs 1
1468.5050408132051 inputs 1
1527.7948330417375 inputs 1
2041.3269607818402 inputs 1
2060.651906398749 inputs 1
2145.3695984828264 inputs 1
2149.5985509292063 inputs 1
2188.1130331534237 inputs 1
2234.6779772069644 inputs 1
2263.5851216481437 inputs 1
2355.1920202197325 inputs 1
2443.6419130862846 inputs 1
2529.5108617772703 inputs 1
2571.8392578009234 inputs 1
2574.9342542945956 inputs 1
2597.9548535599874 inputs 1
2640.4954948133377 inputs 1
2695.3990159493637 inputs 1
2713.422083255672 inputs 1
2849.987372995481 inputs 1
2851.6163652414207 inputs 1
2866.683469443012 inputs 1
2917.6305732625374 inputs 1
2931.731985342206 inputs 1
2933.7120671590287 inputs 1
2956.224674167657 inputs 1
3076.754192044867 inputs 1
3282.155197686591 inputs 1
3338.7511743705813 inputs 1
3363.2110832397443 inputs 1
3432.9809307454466 inputs 1
3650.0059668971526 inputs 1
3713.1947141956925 inputs 1
4008.3675582479527 inputs 1
4186.328164066992 inputs 1
4226.181020967433 inputs 1
4236.249819767984 inputs 1
4356.681402859162 inputs 1
4543.809992945079 inputs 1
4614.601694986337 inputs 1
4777.8517357095525 inputs 1
4819.984199838023 inputs 1
4897.914609005641 inputs 1
4936.420878566333 inputs 1
121.35529748846082 inputs 2
195.87664169808767 inputs 2
312.1186472037014 inputs 2
312.1615216282014 inputs 2
374.6646130949906 inputs 2
424.7058279310451 inputs 2
538.5197254254268 inputs 2
585.1925129561637 inputs 2
635.4362694975767 inputs 2
699.8864841445842 inputs 2
733.2434499340167 inputs 2
763.3986210180718 inputs 2
773.9462471543422 inputs 2
801.9095884152404 inputs 2
972.9584762237604 inputs 2
1522.6827846549286 inputs 2
1526.951642268342 inputs 2
1556.7138485176633 inputs 2
1628.4108806862964 inputs 2
2068.8133976061013 inputs 2
2165.8908929341014 inputs 2
2344.785578457305 inputs 2
2398.093988169406 inputs 2
2467.6867631304744 inputs 2
2604.554905033775 inputs 2
2611.2172846471403 inputs 2
2626.1239089154387 inputs 2
2772.930800039831 inputs 2
2850.7026250518697 inputs 2
2859.017773504076 inputs 2
2911.9921225130097 inputs 2
2979.456469482506 inputs 2
3054.167309737538 inputs 2
3135.614146974319 inputs 2
3146.6317918565787 inputs 2
3176.457637088319 inputs 2
3310.147218420326 inputs 2
3542.118701621793 inputs 2
3614.375114423183 inputs 2
3621.3438393699985 inputs 2
3850.545063349229 inputs 2
3916.1377582454393 inputs 2
4089.33165111774 inputs 2
4665.435615721774 inputs 2
4830.711302512422 inputs 2
4901.581030657301 inputs 2
4970.739104611847 inputs 2
177.09418705086614 inputs 3
181.79867770220574 inputs 3
205.4918569607192 inputs 3
206.21788107319668 inputs 3
329.7362741782768 inputs 3
379.3280007415503 inputs 3
600.4178133037271 inputs 3
802.2793468918518 inputs 3
831.2895063333162 inputs 3
937.7849720606905 inputs 3
1172.7963350288792 inputs 3
1247.6491188062444 inputs 3
1254.7371937783678 inputs 3
1270.3091376371503 inputs 3
1273.7764407882896 inputs 3
1324.0936436273169 inputs 3
1388.5883324863055 inputs 3
1507.5992061034908 inputs 3
1576.6923943313568 inputs 3
1836.7212310584425 inputs 3
1844.2098957660623 inputs 3
1905.8834423992914 inputs 3
2088.77623264615 inputs 3
2108.88093381326 inputs 3
2118.2449463731377 inputs 3
2157.3536578340627 inputs 3
2187.5508170793883 inputs 3
2364.2669847391376 inputs 3
2376.461059457639 inputs 3
2420.4310576400594 inputs 3
2546.2351708821707 inputs 3
2610.9707003268554 inputs 3
2689.470694597227 inputs 3
2717.499738421221 inputs 3
2746.9784258936893 inputs 3
2755.077422522935 inputs 3
2796.838244638183 inputs 3
2829.314134468151 inputs 3
2903.5320629618113 inputs 3
2928.273056040015 inputs 3
3007.419804647771 inputs 3
3266.1904839552226 inputs 3
3386.2265561187664 inputs 3
3607.304418280813 inputs 3
3607.8446532260627 inputs 3
3794.010128804653 inputs 3
3810.0134494826593 inputs 3
3817.557358055434 inputs 3
3946.8108074885595 inputs 3
4013.9092675941865 inputs 3
4188.561161511249 inputs 3
4264.76840809382 inputs 3
4315.724131857772 inputs 3
4655.024698709907 inputs 3
4718.216850138311 inputs 3
4720.252620796661 inputs 3
4868.305144716324 inputs 3
4891.305016093624 inputs 3
4914.0296757943115 inputs 3
4919.961475702467 inputs 3
4938.460124355554 inputs 3
4970.382957768388 inputs 3
51.11111142940994 inputs 4
167.87341254248554 inputs 4
272.8525866027121 inputs 4
313.403998396239 inputs 4
316.1475410248014 inputs 4
388.0935652774519 inputs 4
404.55719057201105 inputs 4
423.10018550323525 inputs 4
426.82773015490324 inputs 4
506.5176897651343 inputs 4
525.8539598548605 inputs 4
554.7327220681537 inputs 4
757.507853776911 inputs 4
809.4552733634023 inputs 4
855.7100296412784 inputs 4
892.4707095836923 inputs 4
910.292904837139 inputs 4
971.902962776939 inputs 4
1159.613687935501 inputs 4
1181.547848599022 inputs 4
1228.7113880307365 inputs 4
1272.4418121309166 inputs 4
1485.4871876549216 inputs 4
1543.9550046781922 inputs 4
1550.213981210997 inputs 4
1556.3104639076023 inputs 4
1638.7936306629938 inputs 4
1707.9205030285898 inputs 4
1745.0774754968913 inputs 4
1818.2448916511617 inputs 4
1862.2138455999248 inputs 4
1886.3136764929402 inputs 4
1973.845749226526 inputs 4
2322.64606404818 inputs 4
2396.9806121146935 inputs 4
2415.6227986059152 inputs 4
2416.687550456472 inputs 4
2480.4144838597817 inputs 4
2502.387857194237 inputs 4
2731.363571379568 inputs 4
2836.757328062378 inputs 4
2860.9739033284336 inputs 4
2956.457510852111 inputs 4
3001.218082523644 inputs 4
3059.0353814366476 inputs 4
3069.9903479986087 inputs 4
3144.0034106011676 inputs 4
3261.0791310346926 inputs 4
3313.366216995996 inputs 4
3366.759516045557 inputs 4
3367.0255423305343 inputs 4
3405.117303421417 inputs 4
3578.2861934037296 inputs 4
3712.1292456932288 inputs 4
3734.6978929090947 inputs 4
3967.6865925718785 inputs 4
4060.2058682607912 inputs 4
4104.583438097849 inputs 4
4412.624542610235 inputs 4
4446.321209175294 inputs 4
4448.047458371414 inputs 4
4523.8087322295105 inputs 4
4661.870554824854 inputs 4
4685.414799822978 inputs 4
4694.285076487937 inputs 4
4736.565375440112 inputs 4
4794.384544895718 inputs 4
4818.5127790442875 inputs 4
148.0824787362583 inputs 5
181.20137825426497 inputs 5
282.76746074217573 inputs 5
291.65287035746155 inputs 5
452.30145946231653 inputs 5
662.7642174646373 inputs 5
670.1459226710316 inputs 5
924.2142992759575 inputs 5
1292.5196577360366 inputs 5
1344.304453841436 inputs 5
1446.724782672576 inputs 5
1663.6901297638917 inputs 5
1864.446106641117 inputs 5
2005.8465382679058 inputs 5
2057.9332337472015 inputs 5
2146.406765338816 inputs 5
2409.5201944186024 inputs 5
2495.6311575685154 inputs 5
2587.4724999346067 inputs 5
2658.4925032674673 inputs 5
3017.278572273747 inputs 5
3032.582227257917 inputs 5
3065.3809362400375 inputs 5
3069.484123082329 inputs 5
3167.5424344280536 inputs 5
3323.999635703959 inputs 5
3449.09769150339 inputs 5
3521.569495526664 inputs 5
3679.2007140731193 inputs 5
3737.9940886482705 inputs 5
3795.5035663992244 inputs 5
3800.41580941272 inputs 5
